Date,Me Daily,Sp500 daily,Win by
8/15/2025,-0.48%,-0.19%,-0.29
8/18/2025,+0.19%,-0.00%,0.19
8/19/2025,-2.11%,-0.60%,-1.51
8/20/2025,-0.26%,-0.28%,0.02
8/21/2025,-0.42%,-0.37%,-0.05
8/22/2025,+1.36%,+1.54%,-0.18
8/24/2025,+0.02%,-0.42%,0.44
8/25/2025,"+0.52%",+0.40%,0.12
8/27/2025,+0.20%,+0.23%,-0.03
8/28/2025,+0.15%,+0.36%,-0.21
8/29/2025,-1.84%,-0.58%,-1.26
9/2/2025,-0.70%,-0.50%,-0.2
9/3/2025,+0.37%,+0.47%,-0.1
9/4/2025,+0.84%,+0.91%,-0.07
9/5/2025,-1.16%,-0.27%,-0.89
9/6/2025,+0.47%,+0.26%,0.21
9/9/2025,+0.71%,+0.24%,0.47
9/10/2025,+1.17%,+0.28%,0.89
9/11/2025,-0.30%,+0.80%,-1.1
9/12/2025,+0.27%,-0.02%,0.29
9/15/2025,+0.49%,+0.52%,-0.03
9/16/2025,-0.59%,-0.13%,-0.46
9/18/2025,+1.05%,+0.47%,0.58
9/24/2025,-1.21%,-0.52%,-0.69
9/30/2025,+0.83%,+0.37%,0.46
